Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
COM Phx  PCH Expansion 4,59P4,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx PCH Expansion 5,59P5,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Research Admin,59RS,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Scottsdale Healthcare,59SH,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  St. Joseph's Mission Support,59SJ,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Yuma Mission Support,59YM,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- A. Gallitano,60AG,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- A. Sertil,60AS,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- A. Titelbaum,60AT,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- B. Handa,60BH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- D. Ferguson,60DF,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS-E. Garofalo,60EG,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- E. Nikulina,60EN,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- H. Glowacka,60HG,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- J. Hsieh,60JH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- K. Gustin,60KG,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- K. Hastings,60KH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- K. Whitfield,60KW,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- M. Herbst-Kralovetz,60MH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- M. O'Neil,60MO,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- P. Boehmer,60PB,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- P. Standley,60PS,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- R. Fisher,60RF,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- R. Gonzales,60RG,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- R. Hammer,60RH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- S. Kim,60SK,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- S. Qiu,60SQ,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- S. Sharma,60SS,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- S. Zack,60SZ,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- T. Anderson,60TA,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- T. Hale,60TH,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS- W. Lee,60WL,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS Department,60XX,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
BMS Graduate Program,60YY,COM Phx Basic Medical Sci,Y,0660,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Nano- F. Zenhausern,62FZ,COM Phx NanoBioscience & Med,Y,0662,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Nano- Jian Gu,62JG,COM Phx NanoBioscience & Med,Y,0662,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Nano- J. Lacombe,62JL,COM Phx NanoBioscience & Med,Y,0662,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
NanoBioscience Department,62NB,COM Phx NanoBioscience & Med,Y,0662,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Academic Affairs,63AA,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  ADMISSIONS,63AD,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Assessment & Evaluation,63AE,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Anatomy Laboratory,63AN,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Curricular Affairs,63CA,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Doctoring,63DC,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Global Healh,63GH,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Pathways,63PT,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Rural Health,63RH,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Student Affairs,63SA,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Simulations Center,63SC,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Scholarly Project,63SP,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Service Learning,63SV,COM Phoenix Academic Affairs,Y,0663,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx BMI,65BI,COM Phx Biomedical Informatics,Y,0665,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Clinical Decision,65CD,COM Phx Biomedical Informatics,Y,0665,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Clinical Informatics,65CI,COM Phx Biomedical Informatics,Y,0665,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Senior VP Health Sciences,6801,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,285,139,76,111,39,6
UAHS Clin & Interprof Skills,6802,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,131,122,4,116,7,0
AHS BioCommunications,6803,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,85,20,1,19,2,0
AHS Library,6804,Libraries,Y,LBRY,O,OFFICIAL ORG,203,24,8,14,10,0
AHS Office of Public Affairs,6805,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,63,26,24,26,0,0
AHS Human Resources,6806,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,11,6,3,6,1,0
UAHS Research,6807,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,74,51,20,37,20,0
AHSC Minority Recruitment,6808,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,49,6,0,0,0,6
AHS Continuing Medical Educ,6809,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,10,1,0,0,0,1
AHS General,6810,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
Rsrch Laboratory & Safety Svcs,6811,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,91,20,10,17,7,0
All of Us Research Program,6815,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,170,110,80,104,21,4
Ctr of Excellence Womens Hlth,6816,College of Public Health,Y,PBHL,O,OFFICIAL ORG,9,0,0,0,0,0
AHS-Phx Campus Administration,6817,College of Medicine - Tucson,Y,MDTC,O,OFFICIAL ORG,0,0,0,0,0,0
UAHS ITS & Instructional Suppt,6819,Az Health Sciences Division,Y,HLGN,O,OFFICIAL ORG,10,10,4,8,3,0
UAHS Brain Science,6820,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,44,42,28,41,5,0
UAHS Academic Support,6821,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx  FCM,68FC,COM Phx Family Commun&Prev Med,Y,0668,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Cardiolgoy,69CD,COM Phx Internal Medicine,N,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COMP  Clinical Informatics,69CI,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Cardiology,69CR,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Clin Data Analytics & Dec Spt,69CS,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Clinical Trials-Internal Med,69CT,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Endocrinology,69EN,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Gastroenterology,69GI,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Cardiolgoy - Guy Reed,69GR,COM Phx  Cardiology,Y,69CR,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx Hospitalist Internal Medicine,69HT,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Infectious Disease,69ID,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Internal Geriatric,69IG,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Internal Medicine,69IM,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM P Internal Medicine- Jui-Cheng Hsieh,69JH,COM Phx  Internal Medicine,Y,69IM,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx Pulmonary - Ken Knox,69KK,COM Phx Pulmonary,Y,69PU,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx Liver Transplant Internal Med,69LT,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Internal Medicine - Mike Fallon,69MF,COM Phx  Internal Medicine,Y,69IM,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx  Cardiolgoy - Martha Gulati,69MG,COM Phx  Cardiology,Y,69CR,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx PMI internal Medicine,69PM,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Pulmonary,69PU,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Rheumatology,69RE,COM Phx Internal Medicine,Y,0669,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Pulmonary - Ting Wang,69TW,COM Phx Pulmonary,Y,69PU,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Human Resources,7101,Human Resources Division,Y,HRDV,O,OFFICIAL ORG,366,101,42,83,34,0
DoM - Ana Rodriguez,7131,Medicine,N,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Cynthia Campas,7132,Medicine,N,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Julie Stringer,7133,Medicine,N,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Rebecca Rosenberg,7134,Medicine,N,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Rosa Fung,7135,Medicine,N,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Admin,713A,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - CARD,713B,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Card Kino,713C,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Derm,713D,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Diabetes,713E,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Endo,713F,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - GenMed,713G,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - GenMed Kino,713H,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Geri,713I,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - GI,713J,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - HemOnc,713K,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - ID,713L,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - IM,713M,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Liver,713N,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - MEO,713O,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - MEO Kino,713P,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Neph,713Q,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Neurology,713R,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Non,713S,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - PIM,713T,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Pulm,713U,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DoM - Rheum,713V,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
"DoM - Cardiology, Kino",713X,DoM - Rosa Fung,N,EDOM,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx Obstetrics & Gynecology,71OB,COM Phx Obstetrics&Gynecology,Y,0671,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Administration,721A,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Clinical Trials Tucson,721C,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Community Outreach,721O,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Phoenix Campus,721P,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Research,721R,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cancer Center Shared Resources,721S,Cancer Center Division,Y,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UA Presents,7301,UA Presents Division,Y,UAPS,O,OFFICIAL ORG,886,69,4,35,32,3
COM Phx Orthopedics,73OR,COM Phx Orthopedics,Y,0673,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Facilities Mgmt-Admin HR,7410,Facilities Management,Y,FCMG,O,OFFICIAL ORG,32,9,3,8,1,0
Facilities Mgmt-Maint Services,7420,Facilities Management,Y,FCMG,O,OFFICIAL ORG,604,219,10,219,9,0
Facilities Mgmt-Bus Svc,7430,Facilities Management,Y,FCMG,O,OFFICIAL ORG,87,35,2,28,10,0
Facilities Mgmt-Maint AHS,7435,Facilities Management,Y,FCMG,O,OFFICIAL ORG,0,0,0,0,0,0
Facilities Mgmt-Custodial,7440,Facilities Management,Y,FCMG,O,OFFICIAL ORG,837,256,5,250,6,0
Facilities Mgmt-Recycling,7445,Facilities Management,Y,FCMG,O,OFFICIAL ORG,6,0,0,0,0,0
Facilities Mgmt-Utilities,7450,Facilities Management,Y,FCMG,O,OFFICIAL ORG,139,49,6,49,1,0
UITS-Network Tech Solutions,7451,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,128,2,0,0,2,0
Facilities Mgmt-Utilities AHS,7455,Facilities Management,Y,FCMG,O,OFFICIAL ORG,0,0,0,0,0,0
University Postal Services Ctr,7460,Financial Services,Y,FNSV,O,OFFICIAL ORG,34,7,0,6,3,0
Fac Mgmt-Operational Services,7461,Facilities Management,Y,FCMG,O,OFFICIAL ORG,251,58,3,56,3,0
University Police Department,7470,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,377,120,7,110,17,0
UNIVERSITY POLICE,7471,University Police Department,Y,7470,N,UNOFFICIAL ORG - LEVEL 1,601,188,1,186,1,0
Risk Management and Safety,7475,Risk Management and Safety Div,Y,RSKM,O,OFFICIAL ORG,76,23,7,19,5,1
Facilities Mgmt-Garage,7480,Facilities Management,Y,FCMG,O,OFFICIAL ORG,60,10,0,10,0,0
Facilities Mgmt-Services,7490,Facilities Management,Y,FCMG,O,OFFICIAL ORG,1,0,0,0,0,0
COM Phx Psychiatry,74PY,COM Phx Psychiatry,Y,0674,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Campus Health and Wellness,7501,Campus Health and Wellness,Y,SLHW,O,OFFICIAL ORG,812,209,96,169,48,5
Student Financial Aid,7601,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,464,122,20,52,75,1
COM Phx Radiology,76RY,COM Phx Radiology,Y,0676,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FSO-Administration,7701,Financial Services,Y,FNSV,O,OFFICIAL ORG,181,19,9,18,2,0
FSO-Financial Management,7702,Financial Services,Y,FNSV,O,OFFICIAL ORG,184,46,5,36,12,0
FSO-Operations,7703,Financial Services,Y,FNSV,O,OFFICIAL ORG,178,41,1,33,10,1
FSO-Bursars office,7704,Financial Services,Y,FNSV,O,OFFICIAL ORG,93,29,6,21,10,0
Workforce Systems,7706,Human Resources Division,N,HRDV,O,OFFICIAL ORG,27,0,0,0,0,0
FINANCIAL SERVICES OFC-CATCARD,7708,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,43,7,2,4,4,0
FINANCIAL SERVICES OFC-INFORMATION TECHN,7709,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,114,27,3,21,7,0
FINANCIAL SERVICES OFC-CAPITAL FINANCE,7710,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,70,16,1,9,8,0
Occ Health Strategy,7711,Human Resources Division,Y,HRDV,O,OFFICIAL ORG,0,0,0,0,0,0
COM Phx Endocrinology Surgery,77ES,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Otolaryngology,77OL,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Plastics Surgery,77PL,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Surgery,77SY,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Trauma Surgery,77TR,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Transplant Surgery,77TS,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Urology,77UR,COM Phx Surgery,Y,0677,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Procurement & Contracting Svcs,7801,Financial Services,Y,FNSV,O,OFFICIAL ORG,193,49,5,45,5,0
Neurosurgery Banner,78BA,COM Phx Neurosurgery,Y,0678,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Neurosurgery BNI,78BN,COM Phx Neurosurgery,Y,0678,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Internal Audit,7901,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,13,6,6,6,1,0
Office of Sustainability,7920,Business Affairs Division,Y,BUDV,O,OFFICIAL ORG,28,22,4,4,19,0
STUDENT GAMES,8000,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,81,6,0,0,6,0
Arizona Student Unions,8001,Student Unions,Y,STUN,O,OFFICIAL ORG,478,79,11,37,46,0
STUDENT UNION OPERATIONS,8002,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,387,62,1,36,26,0
PARK STUDENT UNION,8003,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,1491,337,1,14,323,1
STUDENT UNION - FAST COPY,8004,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,207,24,1,5,20,0
STUDENT PROGRAM OFFICE,8005,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,48,4,0,0,4,0
STUDENT CONCESSIONS/SO,8006,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,800,123,1,102,29,0
STUDENT FOOD SERVICE,8009,Arizona Student Unions,Y,8001,N,UNOFFICIAL ORG - LEVEL 1,7986,1340,15,133,1216,3
Office of the Registrar,8101,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,394,76,12,34,43,0
Admissions & New Student Enrol,8102,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,1039,230,95,103,138,2
MINORITY STUDENT RECRUITMENT,8104,Enrollment Services,N,ENRL,O,OFFICIAL ORG,64,1,0,0,0,1
ORIENTATION,8105,STUDENT ENGAGEMENT & SUCCESS,N,SESC,O,OFFICIAL ORG,137,1,0,0,1,0
Early Academic Outreach,8106,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,276,47,8,9,40,1
Student Admin Systems Group,8107,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,95,35,2,25,15,0
Communications,8201,Marketing Communications Div,Y,MCDV,O,OFFICIAL ORG,72,13,11,13,2,0
Career Development,8301,Academic Inits & Stdnt Success,N,OLDL,O,OFFICIAL ORG,156,0,0,0,0,0
Thrive Center,8303,Stud Success Retention Innov,Y,STTS,O,OFFICIAL ORG,796,124,22,22,104,8
Testing Office,8304,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,35,27,1,14,14,0
Leadership Programs,8306,Academic Inits & Stdnt Success,N,OLDL,O,OFFICIAL ORG,41,0,0,0,0,0
Stdnt Engagement & Career Dev,8307,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,115,87,22,26,66,0
SALT Ctr Learning Disabilities,8403,Stud Success Retention Innov,Y,STTS,O,OFFICIAL ORG,1536,240,27,41,203,4
COM Phx  Bioethics,84BE,COM Phx Bioethics Med Humanism,Y,0684,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Alumni Relations,8501,Alumni Relations Division,Y,ALUM,O,OFFICIAL ORG,183,36,16,24,14,1
COM Phx Child Health,85CH,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM-Phx IMM Lab - David Azorsa,85DA,COM-Phx IMM Lab,Y,85MM,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx NT Lab - Jonathan Lifshitz,85JL,COM Phx NT Lab,Y,85NT,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx NG Lab - Michael Kruer,85MK,COM Phx NG Lab,Y,85NG,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM-Phx IMM Lab,85MM,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx NG Lab,85NG,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx NT Lab,85NT,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM-Phx Pediatric Infectious Disease,85PI,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Neuro-Dev Disorders Lab R Frye,85RF,COM Phx Child Health,Y,0685,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx NT Lab - Rachel Rowe,85RR,COM Phx NT Lab,Y,85NT,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM-Phx Ped Infect Dis - Terrence Stull,85TS,COM-Phx Pediatric Infectious Disease,Y,85PI,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM Phx NT Lab - Theresa Thomas,85TT,COM Phx NT Lab,Y,85NT,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
COM P Program for Clinical Decision Supt,86CD,COM Phx Ctr Tox&Pharm Ed&Res,Y,0686,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx CTPER,86CT,COM Phx Ctr Tox&Pharm Ed&Res,Y,0686,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Center for Med Decision Support,86MD,COM Phx Ctr Tox&Pharm Ed&Res,N,0686,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
